samples,class,middle_facial_height,lower_facial_height,philtrum,intercanthal_width,biocular_width,nasal_width,mouth_width
37.0,0.0,67.56810874922613,71.51657195693389,15.996686225896921,49.85651590138444,120.07060438230259,34.050252010321095,66.65294597992272
38.0,0.0,78.65195807773128,71.65707631185774,20.10430706359712,55.00560635078756,133.03316974254304,45.190714632730696,88.40607219047752
39.0,0.0,70.80030609632487,64.58623470476122,9.174780698294665,53.89451621336812,130.24347729644802,43.44890581502486,93.93239464570782
40.0,0.0,72.83097432433168,85.68485920924539,14.293440637901005,52.441659006524354,124.23267878278787,43.92087327531838,91.84518289503157
41.0,0.0,74.50873821777448,66.8863861641351,16.50789304063365,52.73394741779269,127.19826766325093,35.53075719430173,66.84440272163182
42.0,0.0,79.94099116607694,71.35738588788408,13.470164755130352,58.63602133205427,135.35451454910222,37.99320896263074,77.96429497197292
43.0,0.0,75.0066188771766,69.03578840142627,16.94648337089734,46.85606357756486,115.31146503097989,31.95555801583506,62.21356594035179
45.0,0.0,67.22131342447169,58.580435477881146,17.341114450704602,51.09846157348085,117.34218602125101,29.677578022097755,66.95303122265487
46.0,0.0,81.35416805774476,68.77440477190116,12.628507415862734,41.37762895756142,111.75738053936583,40.65976558471039,82.33418220298846
48.0,0.0,90.16070245169564,83.56639309280379,19.099490933530163,52.39009220705476,126.57496272911145,39.40802517664265,67.81673513145557
49.0,0.0,65.78823493696265,84.33232970178935,12.667865231826758,53.3130002578602,118.66175620176239,41.12183530841126,89.55647904285038
50.0,0.0,89.36150025977759,74.56337911892108,16.472147967344764,47.62621755447095,121.96011265503387,32.245917804622955,58.924559354951484
52.0,0.0,78.61832241999856,76.74194138892892,11.779761686846651,51.2250251308257,121.12388625818764,40.20424914335922,86.23304246387288
53.0,0.0,66.18068046138427,65.4481873043654,13.582875533111528,50.6406036219955,120.97431373257282,42.105791793558524,86.94708261860715
54.0,0.0,82.29745813901518,77.95992560874656,12.229848340499776,45.01910980106243,106.29073256741279,36.16756896468714,80.64103731285704
55.0,0.0,69.3723986635959,72.31483580344215,16.33614393100463,50.95677197999203,127.74171253411774,40.685469866862796,83.31602683219731
57.0,0.0,57.84827760922471,67.68695509418129,12.626698026974427,40.75725189425803,104.56671031928177,29.239704885982274,60.73953777058976
58.0,0.0,72.61146072893044,64.0901535203591,10.75604435526832,56.46179638030833,131.9782497152639,43.449914730167485,79.87118804704734
59.0,0.0,55.4372729865075,64.48892599994532,16.52007948680937,37.85424057134155,89.98142516565075,28.10732529701708,52.943224762907526
61.0,0.0,68.39754552219213,68.33968605306876,10.374747051740602,47.71465554539086,110.14537965396491,39.03392291488424,86.91730360367374
62.0,0.0,64.53007913907912,73.30777982819626,10.388049116465519,49.13084322234355,120.75198288276275,33.980042599215494,71.47573529359263
63.0,0.0,67.6820486699592,59.54381115719415,6.7731991925603285,45.65280958978457,114.47919911936275,42.397279717087976,86.85109668207133
64.0,0.0,73.11054660888077,72.44433385388258,17.900210393246756,51.053143757203586,120.71446944306635,41.36277999098345,85.03365374324335
65.0,0.0,52.43279897573689,68.53647804503088,11.161007844572099,33.661380024550375,81.44572437263297,29.412886859827225,64.73991592397967
66.0,0.0,64.68782596885237,56.710522877443125,14.927939032877243,46.29399403126366,110.67485894802525,32.17247050495966,66.31102862548305
68.0,0.0,51.405220687118074,52.78630430243247,9.877421552227082,38.02706847949135,88.14582963338496,31.96253360047549,58.811680613926654
69.0,0.0,58.10274256552499,47.966935652184404,10.831946058794072,51.36357432433413,122.26829074398005,33.367765106536574,67.0010450395992
71.0,0.0,60.140057772954925,59.48571938753872,14.080666266307306,40.40635695269867,98.46988139750019,33.07066479681351,69.72132386591134
72.0,0.0,54.28556457716203,49.52703455683059,6.3816246902148706,36.71388121233744,91.42327324483588,31.934558037611467,69.05482881558176
73.0,0.0,76.43473782673443,64.9233298487756,13.97578429381178,35.76707563376269,87.87372694253159,30.406320098040478,62.28484973071782
74.0,0.0,66.55631726406516,66.16082974609449,11.795575247206063,47.23062565582099,105.34460840430421,34.097979380098536,74.18415452383869
75.0,0.0,58.86397376977069,54.45537228560098,10.162048806244535,42.5087063311333,100.86859349112684,29.440468462286724,52.60188507940581
76.0,0.0,53.921072879951126,59.11356196675059,11.958913549762817,45.15887055015212,109.57693226899947,32.38019737572142,69.490129649738
77.0,0.0,71.99131532908186,78.06595643142404,17.7616792270783,47.61564296456572,118.45839424934952,30.070363002724132,49.58008018666571
79.0,0.0,57.088702516221396,53.282941786527715,10.637784755568246,39.071422731179126,98.26323745413897,27.673067079313768,57.96330977285545
80.0,0.0,60.06997968558981,52.09483001937237,10.04916603024351,47.50557199487049,111.90809687253976,35.44677273242848,65.83921090776909
81.0,0.0,55.93941009475709,59.92534430288158,10.136044693552813,37.26468538904662,83.14228759948227,29.239955024775607,58.04685033241617
